,NAV,Change
1998-06-30,86150.31054051672,0.007974574599626975
1998-07-31,86837.3226187031,-0.0021917745757843825
1998-08-31,86646.99478275824,0.02280990633656804
1998-09-30,88623.40461809805,0.029608534070423877
1998-10-31,91247.41371316997,-0.005818436213981902
1998-11-30,90716.49645678907,0.018296448105667096
1998-12-31,92376.28612653865,-0.011897933518274893
1999-01-31,91277.19921553995,-0.004427035092576909
1999-02-28,90873.11185146062,-0.006705939208215661
1999-03-31,90263.72228772334,0.015104297302348886
1999-04-30,91627.09238477377,-0.024155192430534718
1999-05-31,89413.82233636918,-0.011002174824719156
1999-06-30,88430.07583127807,0.009346469253673093
1999-07-31,89256.58481613509,-0.00510359450219012
1999-08-31,88801.0554005832,0.0038358440843173714
1999-09-30,89141.68240362266,-0.009609439786114525
1999-10-31,88285.0807741321,0.006262136014185537
1999-11-30,88837.93395796308,-0.004077527751222518
1999-12-31,88475.69481688821,-0.01970700171249932
2000-01-31,86732.10414761722,0.01448943400120638
2000-02-29,87988.80324644988,0.025597688538949125
2000-03-31,90241.11322686738,0.021241332984314243
2000-04-30,92157.95476179448,-0.00429983330546965
2000-05-31,91761.69091854575,0.02314026974858255
2000-06-30,93885.08119898695,0.00650981986034503
2000-07-31,94496.25616516623,-0.0025916242552396877
2000-08-31,94251.35737565924,0.010385762074095618
2000-09-30,95230.22954852339,0.009313700220008067
2000-10-31,96117.1753584209,0.011943556852749466
2000-11-30,97265.15630683988,0.031720380219703824
2000-12-31,100350.44404702177,0.016830511038964838
2001-01-31,102039.39330332019,0.009760653517360893
2001-02-28,103035.36446647561,0.01725414788092556
2001-03-31,104813.15188194525,-0.017931636520496026
2001-04-30,102933.68053983066,-0.014763075205041935
2001-05-31,101414.06287288938,0.0040950474719665345
2001-06-30,101829.35827467886,-0.007297693597224027
2001-07-31,101086.2388187883,0.024262422996274964
2001-08-31,103538.83590411222,0.02217390719678115
2001-09-30,105834.69644271275,0.017393961294704604
2001-10-31,107675.58105627411,2.2822573432593343e-05
2001-11-30,107678.03849012966,-0.016241049357930123
2001-12-31,105929.23415224637,0.0015351715486080614
2002-01-31,106091.85369868274,-0.003656590018014175
2002-02-28,105703.91928545551,-0.015111619926980624
2002-03-31,104106.56183242147,0.006776684674909771
2002-04-30,104812.05917454879,0.0075769135018637765
2002-05-31,105606.21108086657,0.014669595850359554
2002-06-30,107155.41151671065,0.01553128662179766
2002-07-31,108819.67292605336,0.017498027419400132
2002-08-31,110723.8025466836,0.01548893724829376
2002-09-30,112438.79657622165,-0.004033437269531173
2002-10-31,111985.28174356988,0.015406534165708148
2002-11-30,113710.58681280864,0.011065559577478129
2002-12-31,114968.85808577578,0.01068987026431972
2003-01-31,116197.8602631497,0.012459437743309765
2003-02-28,117645.62026900423,-0.0012777393344192392
2003-03-31,117495.29983246437,-0.0008118880639270034
2003-04-30,117399.90680096287,0.01991775569030155
2003-05-31,119738.24946268862,0.018246925510223062
2003-06-30,121923.1043813588,-0.019425708881164152
2003-07-31,119554.66164975874,-0.013034068345113258
2003-08-31,117996.37801883889,0.0023356974646099437
2003-09-30,118271.98185981065,-0.0026174364141060965
2003-10-31,117962.41246772229,-0.012791035204420277
2003-11-30,116453.5510970493,0.011795229832599058
2003-12-31,117827.14749706132,0.008566175607465623
2004-01-31,118836.4755338479,0.0092089786609556
2004-02-29,119930.83810118228,0.01797838459630347
2004-03-31,122087.00083352234,-0.014127317975952727
2004-04-30,120362.23895201676,-0.002919536863741228
2004-05-31,120010.83695839392,0.012587682616388712
2004-06-30,121521.49528455336,0.008583214393978172
2004-07-31,122564.54033205748,0.011360040092447577
2004-08-31,123956.87842414207,0.013997568934474805
2004-09-30,125691.9733747863,0.006012282366226249
2004-10-31,126447.66900988371,0.004532580015435096
2004-11-30,127020.80318743626,0.014401990039809165
2004-12-31,128850.15552979028,-0.0034858919746050213
2005-01-31,128400.99780670238,-0.0013502507039457872
2005-02-28,128227.62426902654,-0.008968659212456617
2005-03-31,127077.5944053347,0.015276715534096343
2005-04-30,129018.92266582228,0.015519505783320287
2005-05-31,131021.23258229226,0.011734380695600394
2005-06-30,132558.68560461968,0.0013193691725001692
2005-07-31,132733.57944795355,0.004206478351127486
2005-08-31,133291.92037636903,0.005984918482777842
2005-09-30,134089.66165423451,-0.007803362731074486
2005-10-31,133043.31138585947,0.0032359013478066743
2005-11-30,133473.82641648964,0.007917951739408973
2005-12-31,134530.66573252965,0.013319716700882295
2006-01-31,136322.57608766804,0.0006307246609630148
2006-02-28,136408.55809825254,0.00074842244647056
2006-03-31,136510.64932502396,-0.00941161207646178
2006-04-30,135225.86404927092,-0.005260953309128736
2006-05-31,134514.44709232112,0.004588080693366948
2006-06-30,135131.61023000433,-0.001406711296716569
2006-07-31,134941.51906735028,0.007305449317506446
2006-08-31,135927.32749572414,0.01243187245798039
2006-09-30,137617.1586947051,0.00020038465095744407
2006-10-31,137644.7350610159,0.007366888659537406
2006-11-30,138658.74849878193,-0.000167568265604633
2006-12-31,138635.51369278508,-0.005407964994830974
2007-01-31,137885.7776876941,0.009107409449026415
2007-02-28,139141.55992229335,0.0071573739684495695
2007-03-31,140137.44810121064,-0.004635727764760519
2007-04-30,139487.80904216517,0.0055854992081208876
2007-05-31,140266.9180891127,-0.010424579099440083
2007-06-30,138804.69450645807,0.007496743617425219
2007-07-31,139845.277714068,0.01618735755919665
2007-08-31,142109.0032273908,0.0008604199261424304
2007-09-30,142231.27664545187,-0.007204998273320663
2007-10-31,141206.5005428092,0.011629882655830188
2007-11-30,142848.7155743625,-0.0030572034027820235
2007-12-31,142411.9979950255,0.012066626416837771
2008-01-31,144130.43037210693,-0.005596252836518194
2008-02-29,143323.84004230844,0.022747119756673168
2008-03-31,146584.0445957371,0.0003070894905974744
2008-04-30,146629.05901532172,-0.00427858903682445
2008-05-31,146001.69353093888,-0.011164316161709726
2008-06-30,144371.68446421443,0.019817271944017004
2008-07-31,147232.73739625758,0.038018593051550253
2008-08-31,152830.31892319166,0.017934158792465703
2008-09-30,155571.20213106336,0.03824888359736643
2008-10-31,161521.62693247676,0.02882152378675015
2008-11-30,166176.92634518573,0.042332697323421715
2008-12-31,173211.64387029302,0.014388361277339931
2009-01-31,175703.87557974074,-0.0035657542788605427
2009-02-28,175077.3587335799,-0.002265201729623137
2009-03-31,174680.77319775874,-0.010606109660520774
2009-04-30,172828.08976163875,-0.022220280249554396
2009-05-31,168987.80117214,-0.028801568222733272
2009-06-30,164120.68748787092,0.003772346547985727
2009-07-31,164739.80759676883,-0.002136449015489041
2009-08-31,164387.84939701686,0.017961309690171973
2009-09-30,167340.47046933803,-0.005375860465889101
2009-10-31,166440.87144979864,0.007620931285368149
2009-11-30,167709.30589419435,0.007202276181977862
2009-12-31,168917.19463353214,-0.0011622524918300685
2010-01-31,168720.87020315637,0.011594703082924474
2010-02-28,170677.1385970546,-0.0056864807280168905
2010-03-31,169706.5863377094,-0.005575795387443301
2010-04-30,168760.33713638884,0.023464647726453902
2010-05-31,172720.2389974918,0.015886358591056297
2010-06-30,175464.1346501389,0.015032504249635892
2010-07-31,178101.7999999258,0.013237165292380072
2010-08-31,180459.36296539524,-0.0009472335064690984
2010-09-30,180288.42581023835,-0.0028004216514584982
2010-10-31,179783.542199092,-0.010896257366179964
2010-11-30,177824.5744530872,-0.003809093852233698
2010-12-31,177147.22395976188,0.007394231162356898
2011-01-31,178457.09148349016,-0.0010970377837481685
2011-02-28,178261.31731135497,0.015109680395747296
2011-03-31,180954.78884285444,1.375156338409891e-05
2011-04-30,180957.27725410287,0.014024339067368387
2011-05-31,183495.0834670222,0.017077902628095658
2011-06-30,186628.7946352063,0.015204411099836267
2011-07-31,189466.37555190688,0.03893583536012757
2011-08-31,196843.40715667602,0.019242239139599916
2011-09-30,200631.11507023842,-0.00573505022129765
2011-10-31,199480.48554935565,0.02352227844505017
2011-11-30,204172.7210748014,0.01839983038901033
2011-12-31,207929.46451264046,0.0026524499320548147
2012-01-31,208480.9870066592,-0.008705120639674673
2012-02-29,206666.1348636878,-0.005579174039361974
2012-03-31,205513.10852924103,0.02403714937243012
2012-04-30,210453.05781695084,0.03972668067787943
2012-05-31,218813.65924252814,0.019318636966573224
2012-06-30,223040.840888762,0.006666019120703697
2012-07-31,224527.63539882432,-0.016781681295289896
2012-08-31,220759.6841795762,0.010433928719944974
2012-09-30,223063.07498854346,0.00636953313118174
2012-10-31,224483.88263502627,-0.002873797959735393
2012-11-30,223838.76131111625,-0.0040764649181508844
2012-12-31,222926.29045330914,-0.005480900105623096
2013-01-31,221704.45372441743,-0.002295010718092937
2013-02-28,221195.63962687095,-0.00028667535024232507
2013-03-31,221132.22828940884,0.017548422071531105
2013-04-30,225012.74996504956,0.00730508070465514
2013-05-31,226656.48626312063,
